Value,Description,Reference
100,Continue,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.2.1]"
101,Switching Protocols,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.2.2]"
102,Processing,[RFC2518]
103-199,Unassigned,
200,OK,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.1]"
201,Created,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.2]"
202,Accepted,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.3]"
203,Non-Authoritative Information,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.4]"
204,No Content,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.5]"
205,Reset Content,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.3.6]"
206,Partial Content,"[RFC-ietf-httpbis-p5-range-26, Section 4.1]"
207,Multi-Status,[RFC4918]
208,Already Reported,[RFC5842]
209-225,Unassigned,
226,IM Used,[RFC3229]
227-299,Unassigned,
300,Multiple Choices,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.1]"
301,Moved Permanently,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.2]"
302,Found,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.3]"
303,See Other,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.4]"
304,Not Modified,"[RFC-ietf-httpbis-p4-conditional-26, Section 4.1]"
305,Use Proxy,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.5]"
306,(Unused),"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.6]"
307,Temporary Redirect,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.4.7]"
308,Permanent Redirect,[RFC-reschke-http-status-308-07]
309-399,Unassigned,
400,Bad Request,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.1]"
401,Unauthorized,"[RFC-ietf-httpbis-p7-auth-26, Section 3.1]"
402,Payment Required,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.2]"
403,Forbidden,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.3]"
404,Not Found,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.4]"
405,Method Not Allowed,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.5]"
406,Not Acceptable,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.6]"
407,Proxy Authentication Required,"[RFC-ietf-httpbis-p7-auth-26, Section 3.2]"
408,Request Timeout,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.7]"
409,Conflict,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.8]"
410,Gone,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.9]"
411,Length Required,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.10]"
412,Precondition Failed,"[RFC-ietf-httpbis-p4-conditional-26, Section 4.2]"
413,Payload Too Large,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.11]"
414,URI Too Long,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.12]"
415,Unsupported Media Type,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.13]"
416,Requested Range Not Satisfiable,"[RFC-ietf-httpbis-p5-range-26, Section 4.4]"
417,Expectation Failed,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.14]"
422,Unprocessable Entity,[RFC4918]
423,Locked,[RFC4918]
424,Failed Dependency,[RFC4918]
425,Unassigned,
426,Upgrade Required,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.5.15]"
427,Unassigned,
428,Precondition Required,[RFC6585]
429,Too Many Requests,[RFC6585]
430,Unassigned,
431,Request Header Fields Too Large,[RFC6585]
432-499,Unassigned,
500,Internal Server Error,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.1]"
501,Not Implemented,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.2]"
502,Bad Gateway,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.3]"
503,Service Unavailable,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.4]"
504,Gateway Timeout,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.5]"
505,HTTP Version Not Supported,"[RFC-ietf-httpbis-p2-semantics-26, Section 6.6.6]"
506,Variant Also Negotiates (Experimental),[RFC2295]
507,Insufficient Storage,[RFC4918]
508,Loop Detected,[RFC5842]
509,Unassigned,
510,Not Extended,[RFC2774]
511,Network Authentication Required,[RFC6585]
512-599,Unassigned,
